bronte	ברונטי
poupakis	פופאקיס
feist	פיסט
stam	סטאם
basri	בסרי
fatfat	פאטפאט
shammas	שמאס
drogba	דרוגבא
numan	נומאן
mukhtar	אלמוכטאר
dvora	דבורה
titu	טיטו
sakurai	סאקוראי
santiago	סנטיאגו
hitman	היטמאן
gyan	גיאן
hirota	הירוטא
bela	בילא
milutinovic	מילוטינוביטש
gerard	ג'רארד
ando	אנדו
diatta	דיאטא
woodward	וודוארד
rott	רוט
shandong	שאנדונג
jo	ג'ו
tichy	טיצ'י
toujan	טוג'אן
lucas	לוקאס
yui	יוי
aden	עדן
ximena	שימינא
beckett	ביקיט
sedarous	סידארוס
muhamed	מוחמד
yeshayahu	ישעיהו
hernan	הירנאן
barhom	ברהום
celentano	צ'לנטאנו
midler	מידלר
showtaro	שוטארו
raab	ראב
miklos	מיקלוס
wassily	ואסילי
mitzpe	מצפה
corrado	קוראדו
rizal	ריזאל
derby	דרבי
freire	פרייר
niklas	ניקלאס
wasilewski	ואסילוסקי
fanteni	פאנטיני
smith	סמית
fazah	פזה
hardin	הארדין
vermelhinho	ורמילהינו
emam	אמאם
vanhanen	ואנהאנין
varga	וארגא
lazaro	לאזארו
nordin	נורדין
hebron	חברון
cassano	קאסאנו
marvin	מארוין
weiner	וינר
gromyko	גרומיקו
eliahu	אליאהו
fallaj	פלאג'
ang	אנג
columbia	קולומביא
lodetti	לודיטי
nikola	ניקולא
ibtisam	איבטיסאם
asturias	אסטוריאס
dlouhy	דלוהי
massawa	מאסאוע
dominika	דומיניקא
aleksandr	אלקסנדר
berggren	בירגרין
allenby	אלנבי
zeki	זקי
lowe	לו
kahveci	קהווג'י
potomac	פוטומאק
daguerre	דאגר
gleick	גליק
yukari	יוקארי
rijsbergen	ריסבירגן
will	ויל
yasunori	יאסנורי
compton	קומפטון
mosisili	מוסיסילי
baudelaire	בודליר
nasir	נאסיר
nairobi	נאירובי
lathan	לאתאן
bjarne	ביארן
katzrin	קצרין
atarot	עטרות
georg	גאורג
mahfoud	מחפוד
sawa	סאווא
andria	אנדריא
therdsak	תרדסאק
nowruz	נורוז
crosby	קרוסבי
shlomi	שלומי
granite	גראניט
bahia	באהיא
korean	קוריאן
wome	וומי
durkovic	דרקוביטש
trimurti	טרימורטי
ricci	ריצ'י
kadisha	קאדישא
zalessky	זאלסקי
heioar	הייור
strauss	סטראוס
mali	מאלי
cassidy	קאסידי
veissiere	ויסייר
kare	קארי
wirajuda	ויראיודא
mehrzad	מהרזאד
wassiou	ואסיו
british	בריטיש
galileo	גאלילאו
mikis	מיקיס
pteranodon	פטיראנודון
aube	אוב
guggenheim	גוגנהאים
whitaker	ויטאקר
xuereb	זויריב
khuwaylid	חואילד
theodorakis	תיודוראקיס
kozynkevych	קוזינקיביטש
pourcel	פורסל
vashti	ושתי
hon	הון
aphrodite	אפרודאיטי
american	אמריקן
fattouh	פטוח
kader	קאדר
polleunis	פולינס
bronstein	ברונסטין
agnon	עגנון
fairuz	פאירוז
tabi	טאבי
bernardo	ברנארדו
stoppard	סטופארד
charlton	צ'ארלטון
rasheed	רשיד
cabrera	קאברירא
normandy	נורמאנדי
corsica	קורסיקא
saudi	סעודי
peixoto	פיקסוטו
galvin	גאלבין
jenyat	ג'ניאט
marriner	מארינר
almenbar	אלמנבר
butrus	בוטרוס
helguson	הילגוסון
akl	עקל
lockhart	לוקהארט
boudica	בודיקא
magdeburg	מאגדיבורג
genrikh	גינריך
kamamoto	קאמאמוטו
sun	סון
charles	צ'ארלז
bromley	ברומלי
atletico	אטלטיקו
rino	רינו
emad	עמאד
yukon	יוקון
helge	הילג
rai	ראי
ploiesti	פלויסטי
reynolds	רינאלדז
keisuke	קיסוקה
rioch	ריוצ'
pedretti	פידריטי
hillingdon	הילינגדון
gillon	גילון
turku	טורקו
rocheteau	רוצ'יטו
larry	לארי
nicephore	ניסיפור
hanescu	האניסקו
soderberg	סודרבירג
gandolfini	גאנדולפיני
tumer	טומר
musharraf	מושארף
riquelme	ריקילמי
reto	ריטו
minerva	מינרבא
loch	לוך
peri	פרי
casanova	קאסאנובא
lutz	לאץ
kunihiko	קוניהיקו
marwahin	מרווחין
valerio	ואליריו
sohrab	סוהראב
sadek	סאדק
garry	גארי
fortune	פורטשן
gicquel	גיקיל
sowe	סו
marcian	מארקיאן
izmir	איזמיר
schachner	שאצ'נר
loetscher	לוטשר
armin	ארמין
hind	הינד
thiering	תירינג
isabelle	איזאבל
meyrieu	מיריו
nansen	נאנסן
stalling	סטאלינג
dearborn	דירבורן
estonia	אסטוניא
taffarel	טאפאריל
risser	ריסר
shoval	שובל
mircea	מירסיא
gajdůsek	גאידוסיק
turner	טירנר
nestorius	נסטוריוס
stresemann	סטריסמאן
