ABBAGNANO	アバニャーノ
ABBO	アボウ
ABDERHALDEN	アプデルハルデン
ABEEL	アビール
ABERCROMBY	アバクロンビ
ABRAMS	エイブラムス
ACKLAND	アクランド
ADAK	アダック
ADAMUS	アダムス
ADDAMS	アダムズ
ADDINGTON	アディントン
ADELAIDE	アデレード
ADELMAN	エーデルマン
ADEMA	アデマ
ADER	アーダー
ADIL	アディル
ADORNO	アドルノ
AFGHANISTAN	アフガニスタン
AGOP	アゴップ
AGUESSEAU	アゲソー
AHMAD	アハマット
AILEEN	アイリーン
AJDUKIEWICZ	アジュキエウィッツ
ALAMEDA	アラメダ
ALASKA	アラスカ
ALBANO	オルバノ
ALBANY	アルバニ
ALECSANDRI	アレクサンドリ
ALEKSANDER	アレクサンデル
ALEKSANDR	アレクサンドル
ALEXANDROV	アレクサンドロフ
ALEXIS	アレクシス
ALFONZO	アルフォンソ
ALHADEFF	アルハデフ
ALIKHANOV	アリハーノフ
ALKEN	アルケン
ALLAIN	アラン
ALLARDYCE	アラダイス
ALMAGIA	アルマジア
ALPERT	アルパート
ALPHONSE	アルフォンス
ALTHEIM	アルトハイム
ALTMANN	アルトマン
ALTON	オールトン
ALVEAR	アルベアル
AMAN	アマン
AMBER	アンバー
AMBROSE	アンブローズ
AMIL	アミル
AMMANN	アンマン
AMMONS	アモンズ
ANATOLY	アナトリー
ANDALUSIA	アンダルシア
ANDERER	アンドラ
ANDERSEN	アンデルセン
ANDERSON	アンダースン
ANDOVER	アンドーバー
ANDREAE	アンドレー
ANET	アネ
ANGARA	アンガラ
ANGELOU	アンジェロウ
ANSELMO	アンセルモ
ANSERMET	アンセルメ
ANTHES	アンテス
ANTIMONY	アンチモン
ANUCHIN	アヌーチン
APOLLO	アポロ
APPIGNANESI	アッピグナネッセイ
ARBER	アルバー
ARCA	アーカ
ARCE	アルセ
ARCH	アーチ
ARDENNE	アルデンネ
ARDIGO	アルディゴ
ARETIN	アレティン
ARGENTA	アルヘンタ
ARI	アリ
ARIE	アリー
ARIEL	アリエル
ARKADY	アルカジイ
ARLINGTON	アーリントン
ARSEN	アルセン
ARTAMONOV	アルタモーノフ
ASA	アサ
